link,player,shot,opponent,tournament,timestamp,surface
https://youtu.be/fBw63IFYaRk?t=3,Rafael Nadal,Around The Net,Marin Cilic,US Open,2019 09 2,Hard
https://youtu.be/6x_hyaB9pgg?t=3,Roger Federer,Tweener,Novak Djokovic,US Open,2009 09 12,Hard
https://youtu.be/m9HV_swF_XY,Rafael Nadal,Banana,Fernando Verdasco,Australian Open,2009 01 29,Hard
https://www.youtube.com/embed/zOlnL31GWsM?start=141&end=152,Gael Monfils,Tweener,Julien Bennetaeu,Paris Masters,2009 11 12,Hard
https://www.youtube.com/embed/zOlnL31GWsM?start=41&end=49,Gael Monfils,Dive,Philipp Kohlschreiber,Davis Cup,2010 05 3,Hard
https://youtu.be/CZ7XFgryL-U?t=2,James Blake,Return Winner,Jesse Huta Galung,US Open,2011 08 30,Hard
https://youtu.be/uKeL-W7xft0?t=7,Sam Groth,Fastest Serve In History,Uladzimir Ignatik,Busan Open Challenger,2012 05 10,Hard
https://www.youtube.com/embed/Axk97CYqPqU?start=0&end=35,Rafael Nadal,Intense Celebration,Novak Djokovic,Shanghai Masters,2007 11 14,Hard
https://www.youtube.com/embed/XpbVHtxodrY?start=0&end=18,Jack Sock,Huge Return,(with Mike Bryan) against Łukasz Kubot and Marcelo Melo,Nitto ATP Finals,2018 11 12,Hard
https://www.youtube.com/embed/QIUs1-_ZpUs?start=26&end=103,John Isner,4 Aces In A Row,Jared Donaldson,Cincinnati Masters,2017 08 18,Hard
https://www.youtube.com/embed/YwQI4V1FXCM?start=0&end=20,Rafael Nadal,Impossible Get,Radek Stepanek,Italian Open,2009 05 6,Clay
https://youtu.be/SQt_3p5Fcpg?t=2,Benoit Paire,Sliding Drop Volley,Gilles Simon,Paris Masters,2015 11 3,Hard
https://www.youtube.com/embed/_OYcZSlKD48?start=72&end=88,Novak Djokovic,Return Winner,Roger Federer,US Open,2011 09 10,Hard
https://www.youtube.com/embed/e38U3Oa3s5s?start=48&end=116,Jimmy Connors,Overhead Gets,Paul Haarhuis,US Open,1991 09 4,Hard
https://www.youtube.com/embed/gcI6WZTdhUU?start=16&end=23,Andy Murray,Around The Net,Michael Llodra,Australian Open,2012 01 20,Hard
https://www.youtube.com/embed/gcI6WZTdhUU?start=110&end=160,Novak Djokovic,Backhand Winner,Rafael Nadal,US Open,2011 09 12,Hard
https://www.youtube.com/embed/gcI6WZTdhUU?start=199&end=235,Juan Martin Del Potro,Forehand Winner,Roger Federer,US Open,2009 09 14,Hard
https://www.youtube.com/embed/Y0mA-4qUPag?start=0&end=5,Mats Wilander,Ace,Andre Agassi,French Open,1988 06 4,Clay
